,4-hydroxy-proline,(4-oxoproline),ergothioneine,asparagine,serine,pantothenate,"3',5'-cyclic-AMP",(dehydroalanine),urocanate,glutamate,xanthine,(3-methyladenine),aminoadipic acid,aspartate,(glycero-3-phosphoethanolamine),"(2,3-dihydroxy-3-methylbutanoate)",adenosine,fumarate,glutamine,lactate,monosaccharide (glucose),thymine,biotin,xylitol,(queuine),adenine,inosine,hypoxanthine
rplo 121 (Actinobacteria),-0.002460518,0.0020588473,0.004212347,0.008795064,0.0043184985,-0.004329647,-0.0057308064,0.006025301,-0.0040242616,0.00070565275,-0.0057302997,-0.008637512,-0.015003397,0.003939444,-0.001900255,-0.0020495513,0.0066378443,-0.015431943,0.0028140042,-0.006984153,-0.012362841,-0.0058445917,0.006351253,-0.008566204,0.0026284836,-0.0046190154,0.0040106406,-0.009893382
rplo 123 (Cyanobacteria),-0.0074919634,-0.0025209086,0.0023505932,-0.0032046172,-0.014577204,-0.0036382827,-0.0056434097,-0.008846088,-0.0011632126,0.0038720188,-9.222694e-05,-0.006852345,0.004434352,-0.0070953323,-0.015604038,0.0036262434,-0.0027406446,-0.0001679168,0.004220648,0.006136085,0.002240877,0.0013193833,-0.008460044,0.0014795184,-0.012506617,-0.015864162,0.0033064184,0.005128186
rplo 127 (Acidobacteria),-0.007682796,0.014749733,0.011842839,0.017948426,0.02134268,-0.014285363,-0.011630348,0.01764337,-0.013935512,0.01341571,-0.017975451,-0.009740183,-0.017558023,0.016313324,0.009055792,-0.016101418,0.015026372,-0.009393776,0.015366815,-0.019428045,-0.014317351,-0.016809277,0.019057866,-0.013729261,0.01120151,0.008699964,0.010305518,-0.018064385
rplo 128 (Acidobacteria),-0.00798826,0.0037239196,0.008729732,0.0030470681,0.0008958179,-0.0061368765,-0.007350017,0.0041654706,-0.005852297,0.00083998224,-0.0052373274,-0.013969071,-0.0055933525,0.00516963,-0.012499238,-0.004117879,0.0035801288,-0.012585594,0.0010424868,0.0058069127,-0.006684637,-0.006946163,0.0019948042,-0.007901596,-0.0021248865,-0.016465835,0.007207964,-0.004515564
rplo 129 (Proteobacteria),0.0004928673,-0.0033982717,-0.008738133,-0.007953736,-0.007529848,-0.0007069372,-0.0012141924,-0.0074076266,-0.0015801691,-0.0031055636,0.0012162316,-0.0005011421,0.008179941,-0.0046018674,-0.016761787,0.004601522,-0.012644083,0.008332919,-0.0046890383,0.009093019,0.0063865953,0.0035220652,-0.008900473,0.0044151945,-0.02044694,-0.022098675,0.009852959,0.0052700983
rplo 13 (Proteobacteria),0.013175702,-0.015349435,-0.013286036,-0.005076191,-0.0068938476,0.020512197,0.020014144,-0.0039060917,0.018816369,-0.020196585,0.015464994,0.015282643,0.00056457,-0.0060389354,0.01943425,0.011355154,-0.0038365382,-0.0010054773,-0.01898947,-0.0035502785,0.004246797,0.012650213,-0.0014155715,0.0140639795,0.014370271,0.02099251,-0.021599447,0.005001809
rplo 130 (Verrucomicrobia),-0.023289025,0.014158224,0.018060964,0.015294721,0.009088141,-0.014005925,-0.018898275,0.019344576,-0.017654907,0.010556911,-0.01576898,-0.019636232,-0.014539726,0.020153604,-0.011983952,-0.014617611,0.018173957,-0.012715879,0.006290027,-0.0067320247,-0.004675528,-0.01845736,0.01172516,-0.01140021,0.005428286,-0.0027849684,0.01505098,-0.013724654
rplo 132 (Proteobacteria),-0.0007753745,-0.009360919,-0.00560654,-0.012053397,-0.010977907,0.004180977,0.006408492,-0.0098723415,0.0027297046,-0.0056796945,0.00609472,-0.00038394905,0.0023202766,-0.0068721147,-0.008679714,0.012492027,-0.008154108,-0.0042396323,-0.008281459,0.008154836,0.0013509286,0.0047422117,-0.012485931,0.00022546461,-0.020112092,-0.017920317,0.00011817468,-0.00019413907
rplo 134 (Bacteroidetes),0.006777919,-0.0086813,-0.0043897005,0.0002087408,0.0004222703,0.009553316,0.012997326,-0.0016639429,0.012348367,-0.01111763,0.0058976915,0.0039426773,-0.007173937,-0.004304373,0.019215781,0.007848917,0.002235793,-0.008414885,-0.009023997,-0.0033560274,-0.010393497,-0.0007558849,0.00660127,0.0043365494,0.01929784,0.007978286,-0.016779581,-0.0075445264
rplo 135 (Actinobacteria),0.018155256,-0.009978972,-0.015440387,-0.010456192,-0.0018561669,0.0134072825,0.014762771,-0.009639539,0.015818918,-0.015014816,0.012607705,0.016840843,0.009454575,-0.011388195,0.014734789,0.009451816,-0.010957856,0.014234743,-0.010505383,0.005070523,0.004378345,0.013513041,-0.00565642,0.011802848,0.0053391363,0.008493512,-0.01096969,0.007993308
rplo 136 (Cyanobacteria),-0.008326029,0.0071283192,0.010797296,0.0053482,0.0016017702,-0.008344439,-0.012812275,0.0050185216,-0.010190416,0.012122792,-0.005645876,-0.008095111,-0.0049979067,0.0034259558,-0.00846593,-0.0036216173,0.007796851,-0.005131991,0.0069826017,-0.0016388067,-0.0008382508,-0.0065420372,0.0040656975,-0.009121613,0.0021223812,-0.0019001696,0.0063066296,-0.0026798262
rplo 137 (Proteobacteria),-0.0005659727,-0.0027720642,-0.0018357305,-0.00913398,-0.012489224,-0.0018579438,-0.008499494,-0.00850658,-0.0045334706,0.001056269,0.0033929858,-0.0050987815,0.011435733,-0.0076743667,-0.026088292,0.0050780065,-0.011754224,0.006230672,-0.0039495253,0.013078328,0.013367677,0.006050023,-0.008579096,0.0020414577,-0.017006336,-0.025481928,0.010941905,0.0132694505
rplo 138 (Bacteroidetes),0.007609625,-0.011783731,-0.010522369,-0.00013620607,-0.0036020225,0.014016706,0.015686965,-0.0027594233,0.014049757,-0.014744898,0.009460306,0.011512764,-0.007281876,-0.005922798,0.020389626,0.011518966,0.002118977,-0.0027338131,-0.0132591855,-0.007252082,-0.0052583925,0.0031433343,0.0024072092,0.010572915,0.015821308,0.01593492,-0.018858366,-0.0066766
rplo 14 (Proteobacteria),0.0020447688,0.0029976808,0.0020858876,0.0053187287,0.009548022,-0.0013935756,0.005045848,0.0029470727,0.0029863664,0.0003313433,-0.0048693074,0.002233037,-0.0034796444,0.0034656418,0.018745415,-0.006284112,0.004241812,0.0016541139,0.00660426,-0.009259526,-0.009681595,-0.0045959232,0.008960416,0.00043017985,0.012670273,0.010462808,-0.0049845497,-0.007500493
rplo 141 (Firmicutes),-0.0012349052,0.0034315484,0.00013946721,0.007740666,0.010677416,-0.0017823578,0.0016400892,0.0061129984,0.0027234748,-0.0016164507,-0.0057941373,0.0019358718,-0.008596001,0.0050309557,0.019950787,-0.004203309,0.0076153036,0.0032072864,0.0034126455,-0.011824402,-0.010960037,-0.0071048643,0.0106997695,0.0012358091,0.01647737,0.011304251,-0.0025818911,-0.01273655
rplo 142 (Actinobacteria),0.008973315,-0.013057514,-0.011108626,-0.008665923,-0.010463408,0.013258162,0.01467908,-0.008598865,0.010187983,-0.0101646,0.012578063,0.010063354,0.0010749429,-0.008424457,0.0028914798,0.01386877,-0.0077028545,-0.00557497,-0.01280788,0.0033465484,0.0022484222,0.0107011935,-0.010202151,0.005063398,-0.008299316,0.0032028877,-0.012378901,0.004346168
rplo 145 (Actinobacteria),0.011236207,-0.009791849,-0.01601024,-0.008347426,-0.003995813,0.0130558815,0.013628385,-0.009237828,0.014117184,-0.009231192,0.012586454,0.012547988,0.013113668,-0.010448946,0.008802119,0.011486542,-0.01341438,0.015672337,-0.010055758,0.008894493,0.013403066,0.011700133,-0.0043025627,0.017017178,0.002348469,0.0035076623,-0.0060666506,0.013159587
rplo 146 (Chloroflexi),0.012145868,-0.012795109,-0.013333323,-0.0070888377,-0.005699609,0.014699462,0.01449373,-0.00496018,0.017337544,-0.015297829,0.011721458,0.011400631,0.0010099156,-0.0064411615,0.01598198,0.010517221,-0.005319898,-0.0012746494,-0.013244775,-0.0013998974,0.00051125593,0.012089166,-0.00473338,0.0071385037,0.006975959,0.014807698,-0.015551261,0.0041021523
rplo 147 (Actinobacteria),0.015024778,-0.018466925,-0.01637906,-0.01798213,-0.022270609,0.022321003,0.019313972,-0.017863551,0.016780693,-0.016807256,0.023867207,0.022240946,0.021896096,-0.01807224,0.0009604219,0.01720518,-0.015925277,0.017494747,-0.020047655,0.00983191,0.025565606,0.02273063,-0.015963186,0.023871917,-0.0032920456,0.009787607,-0.019799821,0.023812424
rplo 148 (Chloroflexi),0.014551584,-0.008795448,-0.011604389,-0.0072270734,-0.00017729978,0.008570174,0.010750799,-0.007111534,0.011103361,-0.008595324,0.007840588,0.010903421,0.003039424,-0.008800791,0.014828945,0.009250915,-0.008795094,0.0051400657,-0.006188884,-0.0035711972,0.000792196,0.009720078,-0.000852512,0.0051283184,0.0031880941,0.004241379,-0.008003441,0.0030234412
rplo 149 (Actinobacteria),-0.009666096,0.007138152,0.013020165,0.011052434,0.009486207,-0.008388518,-0.00376418,0.010219615,-0.0037894023,0.011173899,-0.010827509,-0.01346029,-0.014807777,0.011356114,0.008124661,-0.008037815,0.011643777,-0.023125326,0.010040632,-0.0060876785,-0.020391695,-0.013176533,0.010500103,-0.016613554,0.0096745975,0.004099062,-0.0018710562,-0.013587616
rplo 15 (Firmicutes),-0.017825259,0.009523988,0.016043527,0.010234467,0.00019358323,-0.010312022,-0.015780736,0.009745622,-0.014870962,0.005398556,-0.009295282,-0.014134642,-0.009113153,0.009618646,-0.016858928,-0.009914676,0.015095354,-0.0068491763,0.0059557776,-0.002591511,-0.00031729098,-0.011386697,0.0035473006,-0.00495185,5.5838897e-05,-0.00652518,0.011134562,-0.007669676
rplo 151 (Actinobacteria),0.019800207,-0.011893565,-0.014540177,-0.017212402,-0.015053906,0.009706555,0.01108085,-0.020179726,0.009493866,-0.006284192,0.01404603,0.016631814,0.019239161,-0.019553255,-0.004473241,0.011575494,-0.020060316,0.0142942425,-0.0047512217,0.007821676,0.012687788,0.019558733,-0.01598922,0.009564343,-0.016949516,-0.0052937414,-0.008598312,0.019413726
rplo 153 (Bacteroidetes),-0.021988716,0.022443809,0.022465466,0.026454724,0.01895705,-0.020811575,-0.024813928,0.025750432,-0.025367338,0.019107776,-0.023027128,-0.019710887,-0.020777836,0.024020813,-0.009077961,-0.023138018,0.024045661,-0.012915385,0.01674727,-0.017003626,-0.009434636,-0.024801942,0.021272976,-0.01499351,0.0122224605,0.0040644445,0.018336605,-0.018303895
rplo 155 (Proteobacteria),0.004995044,-0.0105963815,-0.010675983,-0.021601897,-0.015136817,0.005761065,0.0067277444,-0.01793309,0.010431857,-0.0025619946,0.010915615,0.0038340471,0.017896906,-0.014241614,-0.008808984,0.014589773,-0.017305799,0.008520744,-0.005277538,0.021151073,0.008806792,0.01419391,-0.021362847,0.0019095731,-0.023475695,-0.015339145,-0.0001867369,0.0145309605
rplo 156 (Proteobacteria),-0.0029007948,0.0037265206,-0.00045731934,0.009274278,0.012075907,-0.0029732615,0.004490858,0.007656116,-0.0048716045,0.0071857036,-0.0070614726,0.0014750446,-0.010988568,0.008327287,0.013479,-0.002767064,0.0051338794,-0.005862588,0.0057726135,-0.014961418,-0.007388326,-0.008794225,0.009119777,-0.002964017,-3.7705555e-05,0.009239538,0.000879991,-0.013042734
rplo 157 (Bacteroidetes),-0.007682655,0.0128113255,0.015825316,0.0065334286,0.009749841,-0.014569636,-0.016034035,0.011654203,-0.015419897,0.0141081605,-0.012522611,-0.014847283,-0.009080657,0.013175274,-0.012151723,-0.012614778,0.006982206,-0.017648056,0.009666202,-0.0021425895,-0.010946826,-0.009855546,0.0056665703,-0.023417637,-0.004352519,-0.00854224,0.011497539,-0.0068334728
rplo 158 (Chloroflexi),0.010803007,-0.011322744,-0.012841879,-0.009404159,-0.011841988,0.012935912,0.004483539,-0.00936551,0.012080238,-0.018081045,0.014032755,0.008522192,0.008363402,-0.011977886,-0.0046275305,0.012296157,-0.011961436,0.012080823,-0.017890621,0.010268015,0.010838045,0.014505285,-0.0066577494,0.014082134,0.0030710823,-0.007850158,-0.0031450065,0.012727248
rplo 16 (Proteobacteria),-0.0119101275,0.009204281,0.017011197,0.012916071,0.010429547,-0.009418563,-0.007515492,0.011845415,-0.008314692,0.011772505,-0.010319394,-0.012336326,-0.015139445,0.0102472445,0.007574271,-0.008048067,0.017541096,-0.017601168,0.010597288,-0.009797909,-0.013358909,-0.015255325,0.013643627,-0.012729487,0.016163452,0.006954169,-0.0011375855,-0.014714221
rplo 160 (Actinobacteria),0.012682801,-0.00759333,-0.016958967,-0.01693949,-0.008070106,0.0068833632,0.0066805435,-0.012208546,0.005546459,-0.0063790237,0.01096282,0.011022951,0.0179883,-0.010904688,-0.011963489,0.010609079,-0.019742573,0.014372731,-0.01027404,0.016725164,0.014583452,0.013261221,-0.016407209,0.0067558438,-0.021295069,-0.012135055,0.0020555737,0.015333333
rplo 161 (Proteobacteria),-0.0068584387,-0.0054797735,-0.0018509987,2.0981395e-06,-0.009716015,0.007184723,0.0025130943,0.0004711549,0.00723474,-0.006076069,0.0048245387,0.0035961065,-0.0026596219,0.00015954631,0.005967257,0.005575893,0.005892405,0.0009970405,-0.009592321,-0.0019721992,0.0011520141,0.0012572521,-0.0022260891,0.0067083687,0.009954404,0.013514041,-0.010060711,-0.001790364
rplo 163 (Actinobacteria),0.018972162,-0.009078871,-0.014967149,-0.012653383,-0.00889967,0.009444843,0.010461347,-0.016724426,0.011887299,-0.004156919,0.012583082,0.0175339,0.017618205,-0.017301954,0.004811838,0.010064939,-0.017940672,0.018644089,-0.0018909979,0.0056920853,0.011566456,0.018485002,-0.011084053,0.01113308,-0.008166182,0.0020340243,-0.0070883064,0.018530333
rplo 164 (Cyanobacteria),-0.003201935,-0.0028093355,0.004239152,0.0017877589,9.676369e-05,0.002343253,0.007942099,-0.0014453556,0.0035655824,0.0009301806,0.0023526147,-0.002958961,-0.0070486767,-0.0018271174,0.007812911,0.005291624,0.0060261013,-0.014107993,0.0022666364,0.001726992,-0.008168513,-0.0033408138,-0.0008611397,-0.0025452897,0.0024247095,0.0021746154,-0.008321608,-0.006410141
rplo 165 (Proteobacteria),0.007685138,-0.0055178357,-0.006697261,0.0012127404,-0.0040073474,0.006071716,0.010451841,-0.005178541,0.009580145,-0.0028325892,0.003097055,0.0111981295,-0.001989409,-0.0047718324,0.01654462,0.0032208501,-0.0022788162,0.0006248162,-0.0005871467,-0.009385053,-0.009272573,0.0038336187,0.00048272178,0.0040509044,0.006378955,0.013857238,-0.015033721,-0.001906717
rplo 166 (Actinobacteria),0.006857429,-5.020153e-05,-0.004654522,-0.0050984086,-0.0058620465,0.00094296935,-0.00209079,-0.009778267,0.003578728,0.0003111041,0.00462047,0.010256436,0.014254724,-0.010645436,2.0250895e-05,0.0013088824,-0.007755266,0.023765715,0.0039137267,0.002671777,0.010974062,0.009895163,-0.0053909565,0.010341487,-0.0004181928,0.0005782827,0.0010386421,0.013033841
rplo 169 (Proteobacteria),-0.0065944945,0.004548616,0.006522334,-0.0021146438,-0.0044095553,-0.0075824694,-0.015178296,0.00040088125,-0.0090672,0.004752954,-0.003215268,-0.01230606,0.0033030617,0.0009337144,-0.025476208,-0.0029894805,-0.0022513974,-0.0015100603,0.0016927323,0.01180208,0.005201833,-0.00027108027,-0.004610489,-0.0069885445,-0.011925094,-0.020757256,0.015546306,0.00652984
rplo 170 (Proteobacteria),-0.0070897513,0.0007733625,0.00028020266,-0.006400988,-0.0054701073,-0.004222317,-0.009817429,-0.0018510905,-0.006727157,0.004584676,5.0744134e-06,-0.00804698,0.004666516,-0.00058289187,-0.021635931,0.004441061,-0.0056130476,0.0013431852,-0.0030672157,0.012582153,0.008655628,0.0006888621,-0.0076200594,-0.0041672396,-0.017149916,-0.020505728,0.014405345,0.005168029
rplo 171 (Actinobacteria),0.016798416,-0.0100443885,-0.019187236,-0.014312646,-0.013025362,0.010637282,0.006623486,-0.015170123,0.009803142,-0.010765127,0.013567026,0.0151588805,0.022839194,-0.015698755,-0.009131913,0.009796757,-0.022423267,0.024659248,-0.012190255,0.012151044,0.020614289,0.017243978,-0.010554519,0.018330151,-0.008534849,-0.008957484,-0.0020794391,0.022579307
rplo 172 (Firmicutes),-0.008587153,0.017827991,0.01589949,0.017082432,0.01785821,-0.017362295,-0.015590605,0.015225749,-0.017971428,0.014681416,-0.017966405,-0.01009291,-0.010578692,0.0146642,-0.0002650529,-0.020594496,0.014483125,-0.0039843647,0.020384645,-0.01701976,-0.0069017406,-0.014221689,0.014391146,-0.011370522,0.005210103,0.004552166,0.013433966,-0.011035005
rplo 173 (Proteobacteria),0.00585056,-0.008052883,-0.0015680474,-0.011741255,-0.011927068,0.004659189,0.0021703094,-0.010813099,0.0025726396,-0.0035403229,0.0087034125,0.0018272093,0.0067631863,-0.0105051175,-0.00921334,0.009399275,-0.007972337,-0.0016276363,-0.0041786344,0.0058118524,0.008245399,0.011732992,-0.011106918,-0.00025087286,-0.01350775,-0.010298175,-0.0015796525,0.010085075
rplo 174 (Bacteroidetes),-0.013711281,0.010166727,0.010507151,0.014119394,0.016609717,-0.008738946,-0.0092170015,0.016897801,-0.009683364,0.00452383,-0.011540132,-0.015928565,-0.018579602,0.015009229,-0.00061993813,-0.008179615,0.016057508,-0.015299342,0.0051125246,-0.0018922456,-0.011620713,-0.016455466,0.011387851,-0.010602411,0.007959254,-0.0011314298,0.012556914,-0.017388944
rplo 176 (Proteobacteria),-0.005198151,0.0062906374,0.0029574248,0.00259861,0.002003444,-0.0026462004,-0.011237566,0.007985268,-0.008707579,0.003216095,-0.0011805213,-0.005628733,0.002199173,0.008236203,-0.018849619,-0.004371004,-0.0027072418,0.00096787757,-0.0057614893,0.008682769,0.009529592,-0.0002794852,0.00089236937,-0.003138621,-0.004297687,-0.008985629,0.013588671,0.0074533075
rplo 179 (Actinobacteria),0.0060515185,-0.0018304384,-0.010011392,0.0004715899,0.0067257867,0.007352577,0.009483517,0.0029902551,0.00906677,-0.0041818507,0.0037872067,0.011897439,-0.002116433,0.0023927852,0.018739007,0.0032130766,-0.0008333753,0.004934093,-0.006048797,-0.002198753,-0.0039940863,0.0026619646,0.00048228443,0.0026147012,0.007913792,0.019564176,-0.007422322,-0.0030505154
rplo 180 (Actinobacteria),0.021775384,-0.02401892,-0.024382574,-0.024151478,-0.021864457,0.025905488,0.026085386,-0.023300014,0.023238506,-0.022421805,0.02756606,0.02449279,0.021702446,-0.023891203,0.0046646954,0.024834149,-0.021840455,0.016234988,-0.023885423,0.01562339,0.02058356,0.025514552,-0.020180047,0.023560662,-0.0081238635,0.0032231996,-0.0212961,0.021722106
rplo 181 (Actinobacteria),-0.00901902,0.008877264,0.009066012,0.011812329,0.013886201,-0.0048364224,-0.0083177,0.017792337,-0.009375839,0.0052601527,-0.007648824,-0.007317134,-0.015667563,0.016508045,0.002640551,-0.008266176,0.013669427,-0.0133248605,0.0022042934,-0.009943812,-0.0038777802,-0.007452049,0.008538453,-0.011693042,0.0052921595,0.012239414,0.008602795,-0.010163852
rplo 182 (Bacteroidetes),0.00018286805,0.005187149,0.0078448495,0.010455409,0.0045499,-0.004795794,0.0012371058,0.00072618184,-0.003026192,0.0051955795,-0.0054787463,0.0020456892,-0.005654339,-0.00082027185,0.011038789,-0.007873762,0.010245871,-0.0010780537,0.014098847,-0.012979806,-0.00893356,-0.006676322,0.007390253,0.001349245,0.011047435,0.011257874,-0.0076208506,-0.0073318575
rplo 183 (Actinobacteria),-0.00078070397,0.009210554,0.0067219567,0.008296934,0.011352854,-0.0053488887,-0.008239771,0.014937809,-0.008476393,0.00563441,-0.007886334,-0.0013459481,-0.0075782724,0.014891695,0.002630084,-0.013019192,0.0074936016,-0.0074791806,0.0020697839,-0.012332528,-0.0037853932,-0.004453374,0.0089775445,-0.012164509,0.0072926935,0.015481565,0.0025351422,-0.0044287844
rplo 184 (Proteobacteria),0.0039007673,-0.008439992,-0.0017105473,-0.0116694905,-0.016091984,0.004154845,0.0063215266,-0.019227281,0.00928935,-0.0013387215,0.009934157,0.0022795985,0.010934656,-0.018418934,-0.005301432,0.011372539,-0.007556019,0.0035876932,0.004748257,0.014939097,0.0025968694,0.011582667,-0.017308757,0.004811179,-0.013564546,-0.011090564,-0.0056155366,0.0116498
rplo 185 (Acidobacteria),-0.010648421,0.014674273,0.012718796,0.014355617,0.019223288,-0.018542325,-0.008473904,0.010759596,-0.014142519,0.016491361,-0.019963713,-0.01486322,-0.015352053,0.012376763,0.0034366823,-0.014773701,0.012475723,-0.0132639995,0.022970475,-0.0100071,-0.021024693,-0.019743498,0.010918719,-0.016570423,-0.003672359,-0.0056088693,0.012746706,-0.020535946
rplo 186 (Proteobacteria),0.0028343985,-0.002816069,0.0012176643,-8.1232836e-05,0.0077334885,0.0076816343,0.008347661,0.0055702184,0.004183044,-0.008707091,0.005004132,0.0025629606,-0.0040978603,0.0031916944,0.013726009,0.0018719888,0.00626296,-0.004256051,-0.006816957,-0.0025843438,0.003897256,0.0012200004,0.0047553596,0.0029971038,0.012648703,0.013422268,-0.0057870816,-0.002976436
