#all species associated with D015212: Inflammatory Bowel Diseases; Chronic, non-specific inflammation of the GASTROINTESTINAL TRACT. Etiology may be genetic or environmental. This term includes CROHN DISEASE and ULCERATIVE COLITIS.
#in total 605 valid runs were included in GMrepo.
#please consult our web site for more details.
phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance
D015212	species	1303	Streptococcus oralis	Bacteria	127	0.155219381496063	0.0223022	0.420420790556287	
D015212	species	1515	Ruminiclostridium thermocellum	Bacteria	127	0.244394341330709	0.0976736	0.487946839334946	
D015212	species	536633	Blautia glucerasea	Bacteria	127	0.594647946299213	0.135083	1.34267072685731	
D015212	species	39484	Eubacterium desmolans	Bacteria	126	0.203399845714286	0.111722	0.243676857583332	
D015212	species	33043	Coprococcus eutactus	Bacteria	124	1.24929497734677	0.0866437	3.42666769459474	
D015212	species	84030	[Clostridium] saccharolyticum	Bacteria	124	0.153572793790323	0.0953891	0.265935330663884	
D015212	species	1352	Enterococcus faecium	Bacteria	122	0.554758047368852	0.00954615	2.53031020895519	
D015212	species	291645	Bacteroides nordii	Bacteria	121	0.0996741539008264	0.0228442	0.429693363367579	
D015212	species	28111	Bacteroides eggerthii	Bacteria	120	0.3356453155	0.02866015	0.795320563945652	
D015212	species	106588	Pseudoflavonifractor capillosus	Bacteria	119	0.0139188190840336	0.00721558	0.0238177002193089	
D015212	species	1686	Bifidobacterium catenulatum	Bacteria	118	0.210395931542373	0.02676165	0.6424975119175	
D015212	species	341225	[Clostridium] saccharogumia	Bacteria	118	0.165330212372881	0.04336885	0.284463921026992	
D015212	species	1559	Clostridium tertium	Bacteria	117	0.291657837606838	0.044701	1.14522207527251	
D015212	species	1735	Holdemanella biformis	Bacteria	117	0.742234703418803	0.0701083	1.35957530191218	
D015212	species	187327	Acidaminococcus intestini	Bacteria	116	0.715619560689655	0.03083335	2.53229126850476	
D015212	species	665950	Lachnospiraceae bacterium 3_1_46FAA	Bacteria	116	0.366243103448276	0.19992	0.498199550224805	
D015212	species	1532	Blautia coccoides	Bacteria	115	0.198859215565217	0.05763	0.33887784491715	
D015212	species	36847	[Clostridium] neopropionicum	Bacteria	115	0.0873057753913044	0.0441167	0.146128463405246	
D015212	species	288965	[Clostridium] clariflavum	Bacteria	115	0.0613823294086957	0.0213129	0.160348691823091	
D015212	species	310298	Bacteroides coprocola	Bacteria	115	0.812263844869565	0.0682558	3.16238698140705	
D015212	species	28025	Bifidobacterium animalis	Bacteria	114	0.471549500535088	0.014385	1.84182761928623	
D015212	species	1465754	Alistipes timonensis	Bacteria	113	0.197124680442478	0.0594939	0.442460986620857	
D015212	species	1502	Clostridium perfringens	Bacteria	112	0.211038147678571	0.02008295	0.908425286602383	
D015212	species	1531	[Clostridium] clostridioforme	Bacteria	112	0.384569993205357	0.045055	1.48794187719029	
D015212	species	28446	[Clostridium] propionicum	Bacteria	111	0.10267276981982	0.0278774	0.189870487812762	
D015212	species	44749	Sporobacter termitidis	Bacteria	111	0.173089272972973	0.0497905	0.352121608058511	
D015212	species	397865	Barnesiella viscericola	Bacteria	110	0.939267287454545	0.332264	1.50128140977654	
D015212	species	876	Desulfovibrio desulfuricans	Bacteria	107	0.0408949888224299	0.00375	0.122349305095874	
D015212	species	1280	Staphylococcus aureus	Bacteria	105	0.0191723198095238	0.00585727	0.0500935199729219	
D015212	species	39497	Eubacterium xylanophilum	Bacteria	105	0.0626600591904762	0.0156133	0.0984229012343505	
D015212	species	158787	Bifidobacterium scardovii	Bacteria	105	0.0564983299047619	0.0201735	0.146591283432554	
D015212	species	180164	Blautia schinkii	Bacteria	105	0.0506044117142857	0.0209252	0.0772080037713717	
D015212	species	328812	Parabacteroides goldsteinii	Bacteria	105	1.28718313780952	0.046062	6.31746459935462	
D015212	species	573	Klebsiella pneumoniae	Bacteria	103	1.23883068470874	0.00990105	6.08486780997187	
D015212	species	839	Prevotella ruminicola	Bacteria	103	0.0265068937864078	0.0161358	0.0498823485148592	
D015212	species	1307	Streptococcus suis	Bacteria	103	0.0296672211650485	0.00711389	0.0504824323894589	
D015212	species	214853	Anaerofustis stercorihominis	Bacteria	103	0.0116573197087379	0.00565451	0.0181661286227543	
D015212	species	1660	Actinomyces odontolyticus	Bacteria	102	0.0617945502058823	0.0173473	0.292385509632877	
D015212	species	29370	[Clostridium] sphenoides	Bacteria	102	0.0282986897156863	0.00872426	0.0507342088054441	
D015212	species	457421	Clostridiales bacterium 1_7_47FAA	Bacteria	102	0.0660614705882353	0.0196	0.0979475171287019	
D015212	species	469610	Burkholderiales bacterium 1_1_47	Bacteria	102	0.36203431372549	0.16019	0.554979524500563	
D015212	species	1582	Lactobacillus casei	Bacteria	101	0.0346293620594059	0.00622859	0.0993777079284724	
D015212	species	454154	Paraprevotella clara	Bacteria	101	0.295421690386139	0.0157273	0.87301801107435	
D015212	species	29375	[Clostridium] xylanolyticum	Bacteria	100	0.0368524594	0.009580995	0.0917810184731212	
D015212	species	36745	Clostridium saccharoperbutylacetonicum	Bacteria	100	0.05108077049	0.00639371	0.20309499000685	
D015212	species	671267	Bacteroides sartorii	Bacteria	100	0.02941280042	0.02376435	0.028009234083204	
D015212	species	1161942	Ruminococcus champanellensis	Bacteria	100	0.19469587779	0.03230405	0.426227365151361	
D015212	species	907	Megasphaera elsdenii	Bacteria	99	0.291611476171717	0.0150551	1.57496993941673	
D015212	species	1265	Ruminococcus flavefaciens	Bacteria	98	0.132646961122449	0.030605	0.456220859352444	
D015212	species	35785	Clostridium maximum	Bacteria	98	0.0158716670102041	0.005991735	0.02402781941009	
D015212	species	291644	Bacteroides salyersiae	Bacteria	98	0.338329609897959	0.019047	0.939225234686036	
D015212	species	658657	Erysipelotrichaceae bacterium 21_3	Bacteria	98	0.0863536734693878	0.0104	0.224144530335117	
D015212	species	1522	[Clostridium] innocuum	Bacteria	97	0.0306640667010309	0.01186	0.0875073468451412	
D015212	species	1694	Bifidobacterium pseudolongum	Bacteria	97	0.0797967239175258	0.011551	0.347760744845406	
D015212	species	116085	Coprococcus catus	Bacteria	97	0.261109587628866	0.21056	0.215858906217877	
D015212	species	626937	Christensenella minuta	Bacteria	97	0.0985766890721649	0.0471402	0.241497187006807	
D015212	species	37734	Enterococcus casseliflavus	Bacteria	96	0.525579209072917	0.005987555	3.27216543528898	
D015212	species	1267	Clostridium ventriculi	Bacteria	95	0.0309714712736842	0.00705268	0.0845326436643908	
D015212	species	1338	Streptococcus intermedius	Bacteria	95	0.0121264045578947	0.00325807	0.0212217313068923	
D015212	species	1584	Lactobacillus delbrueckii	Bacteria	95	0.245904581863158	0.00324654	1.9904991002956	
D015212	species	1596	Lactobacillus gasseri	Bacteria	95	0.927496878178947	0.00366599	6.18436647866684	
D015212	species	29363	Clostridium paraputrificum	Bacteria	95	0.122699670631579	0.0276797	0.286241373850138	
D015212	species	115979	Bacillus nealsonii	Bacteria	95	0.198904409547368	0.0453664	0.297174672276179	
D015212	species	1379	Gemella haemolysans	Bacteria	94	0.0280216685531915	0.004620345	0.102728062304085	
D015212	species	28125	Prevotella bivia	Bacteria	94	0.0894185426914894	0.003955905	0.502887486574873	
D015212	species	46124	Granulicatella adiacens	Bacteria	94	0.0323765522340426	0.003759685	0.10718117156602	
D015212	species	358742	[Clostridium] aldenense	Bacteria	94	0.0298746184042553	0.00870217	0.0678113104866762	
D015212	species	658085	Lachnospiraceae bacterium 5_1_57FAA	Bacteria	94	0.22007585106383	0.06014	0.383781498249629	
D015212	species	658655	Lachnospiraceae bacterium 1_4_56FAA	Bacteria	94	0.175519574468085	0.05402	0.340678733046773	
D015212	species	645466	Anaerostipes butyraticus	Bacteria	93	0.021106596344086	0.0131552	0.0278578961643772	
D015212	species	871324	Bacteroides stercorirosoris	Bacteria	93	0.0635672457311828	0.00740435	0.448457166488165	
D015212	species	1297750	Bacteroides luti	Bacteria	93	0.935767628064516	0.0741183	3.08194165088127	
D015212	species	28901	Salmonella enterica	Bacteria	92	0.0499630824673913	0.00818172	0.223492501770618	
D015212	species	36835	[Clostridium] colinum	Bacteria	92	0.0467557332608696	0.012612	0.113577755901671	
D015212	species	28135	Prevotella oris	Bacteria	91	1.07035537449451	0.00855395	6.94898717977865	
D015212	species	29361	Tyzzerella nexilis	Bacteria	91	0.469406084263736	0.00608	1.45142148882068	
D015212	species	387661	Parabacteroides johnsonii	Bacteria	91	0.341045917362637	0.0213321	1.85438990749435	
D015212	species	851	Fusobacterium nucleatum	Bacteria	90	0.896758482888889	0.0155509	4.04636086311004	
D015212	species	31971	[Eubacterium] dolichum	Bacteria	90	0.0325966650444444	0.01158365	0.0590229658577211	
D015212	species	33031	Peptoniphilus lacrimalis	Bacteria	90	0.0528941423888889	0.00581721	0.221247333530875	
D015212	species	52226	Mitsuokella multacida	Bacteria	90	0.0524439353333333	0.0102874	0.164658060646552	
D015212	species	133926	Olsenella uli	Bacteria	90	0.201747590355556	0.00788515	1.20896191020215	
D015212	species	338188	Bacteroides finegoldii	Bacteria	90	1.39569021955556	0.109347	2.2758894690059	
D015212	species	762212	Bifidobacterium biavatii	Bacteria	90	0.0234513830111111	0.010418	0.0338893633253694	
D015212	species	310297	Bacteroides plebeius	Bacteria	89	0.0935506758202247	0.00448149	0.425468759381499	
D015212	species	376804	Bacteroides barnesiae	Bacteria	89	0.0577488176629213	0.00708243	0.335681661918659	
D015212	species	437898	Sutterella parvirubra	Bacteria	89	0.587552165910112	0.0979706	0.929247411181954	
D015212	species	1630	Kandleria vitulina	Bacteria	88	0.497220945	0.00781862	1.54730281072175	
D015212	species	197614	Streptococcus pasteurianus	Bacteria	88	0.687191506954545	0.0071792	3.70660363805371	
D015212	species	574375	Bacillus gaemokensis	Bacteria	88	0.0680848910568182	0.004309045	0.227790204715086	
D015212	species	1260	Finegoldia magna	Bacteria	87	0.0233958315287356	0.00362466	0.102625040954432	
D015212	species	1311	Streptococcus agalactiae	Bacteria	87	0.0799249858505747	0.00419657	0.531574932719272	
D015212	species	1598	Lactobacillus reuteri	Bacteria	87	0.055850348137931	0.00469528	0.301608748466314	
D015212	species	1613	Lactobacillus fermentum	Bacteria	87	0.134464700229885	0.00390183	0.546209831722515	
D015212	species	35760	Bifidobacterium choerinum	Bacteria	87	0.124952028965517	0.00504668	0.420236021008662	
D015212	species	133453	Caldilinea aerophila	Bacteria	87	0.0121965790804598	0.0107486	0.00705460591167558	
D015212	species	1322	Blautia hansenii	Bacteria	86	0.0791334954651163	0.0339093	0.158523772656021	
D015212	species	1590	Lactobacillus plantarum	Bacteria	86	0.264152678872093	0.005803395	1.38965905565302	
D015212	species	100884	Coprobacillus cateniformis	Bacteria	86	0.0253726531046512	0.006443915	0.0759888902711718	
D015212	species	114702	Actinomyces lingnae	Bacteria	86	0.0121416915348837	0.00761313	0.01567484395575	
D015212	species	167964	Anaerolinea thermophila	Bacteria	86	0.00969935034883721	0.00824078	0.00732687242613164	
D015212	species	1671366	Ruminococcus sp. DSM 100440	Bacteria	86	0.0310987210581395	0.004004315	0.092233378403219	
D015212	species	1382	Atopobium parvulum	Bacteria	85	0.0597218739294118	0.00330209	0.285920711673558	
D015212	species	29360	Cellulosilyticum lentocellum	Bacteria	85	0.0176836188823529	0.00533231	0.0312633290744223	
D015212	species	155617	Enterococcus moraviensis	Bacteria	85	0.0644132085176471	0.00344346	0.274405066501846	
D015212	species	376806	Bacteroides gallinarum	Bacteria	85	0.0417860142588235	0.0103926	0.197060649186113	
D015212	species	658082	Lachnospiraceae bacterium 2_1_58FAA	Bacteria	85	0.411695176470588	0.12669	0.695212433692739	
D015212	species	1624	Lactobacillus salivarius	Bacteria	84	0.102775477678571	0.006266565	0.501836866288328	
D015212	species	47246	[Clostridium] viride	Bacteria	84	0.027933579047619	0.02133315	0.0271470531369499	
D015212	species	143393	[Eubacterium] sulci	Bacteria	84	0.0394601135952381	0.0129503	0.0797939584730511	
D015212	species	387090	Bacteroides coprophilus	Bacteria	84	0.152136521583333	0.00928983	0.488876289308274	
D015212	species	626935	Collinsella tanakaei	Bacteria	84	0.0491791621190476	0.005151915	0.119591329457834	
D015212	species	52787	Anaerofilum pentosovorans	Bacteria	83	0.0287004178674699	0.0100867	0.0538019959450003	
D015212	species	102684	Streptococcus infantarius	Bacteria	83	0.173507348240964	0.00504337	0.70439672814491	
D015212	species	341694	Peptostreptococcus stomatis	Bacteria	83	0.0847844608192771	0.00632631	0.325662934176073	
D015212	species	457402	Eubacterium sp. 3_1_31	Bacteria	83	1.14786578313253	0.28562	2.36629611152428	
D015212	species	1309	Streptococcus mutans	Bacteria	82	0.0426505662804878	0.005285605	0.160614213229306	
D015212	species	1507	Clostridium sp. ATCC 29733	Bacteria	82	0.00841593652439024	0.00469278	0.0114764536342354	
D015212	species	2047	Rothia dentocariosa	Bacteria	81	0.00869429151851852	0.00482893	0.0180755240919942	
D015212	species	35517	[Eubacterium] brachy	Bacteria	81	0.013828582308642	0.00812859	0.0221612548804764	
D015212	species	39493	Clostridium tarantellae	Bacteria	81	0.0178648841358025	0.00622859	0.0255886860948262	
D015212	species	658086	Lachnospiraceae bacterium 3_1_57FAA_CT1	Bacteria	81	0.141943209876543	0.01922	0.543595750295721	
D015212	species	45851	Butyrivibrio crossotus	Bacteria	79	0.0883815322278481	0.00485369	0.421396005726486	
D015212	species	309120	Dialister micraerophilus	Bacteria	79	0.172648510531646	0.00808931	0.48542089665729	
D015212	species	477666	Bacteroides graminisolvens	Bacteria	79	0.0157550718987342	0.012509	0.0140175851673547	
D015212	species	1313	Streptococcus pneumoniae	Bacteria	78	0.0116559992692308	0.00378114	0.0440234918452827	
D015212	species	33959	Lactobacillus johnsonii	Bacteria	78	0.0229234248717949	0.00886869	0.071809881471658	
D015212	species	589436	Prevotella fusca	Bacteria	78	0.203172914230769	0.00380049	1.02166236343373	
D015212	species	691816	Bacteroides rodentium	Bacteria	78	0.0305126394487179	0.01354735	0.0592094382177764	
D015212	species	1282	Staphylococcus epidermidis	Bacteria	77	0.135505774285714	0.0190145	0.643102284611404	
D015212	species	147207	Collinsella intestinalis	Bacteria	77	0.0450059821558442	0.00450979	0.124886766931646	
D015212	species	469614	Erysipelotrichaceae bacterium 6_1_45	Bacteria	77	0.0570167532467532	0.00884	0.180356947303495	
D015212	species	626932	Alistipes indistinctus	Bacteria	77	0.143163217688312	0.0259067	0.423222779023029	
D015212	species	871325	Bacteroides faecichinchillae	Bacteria	77	0.00726572638961039	0.00619502	0.00448980291801644	
D015212	species	1504	Clostridium septicum	Bacteria	76	0.121874411671053	0.0158775	0.710565984913769	
D015212	species	1520	Clostridium beijerinckii	Bacteria	76	0.0742337573684211	0.00919071	0.229536724923677	
D015212	species	840	Prevotella loescheii	Bacteria	75	0.06622693584	0.00504668	0.290043270666034	
D015212	species	881	Desulfovibrio vulgaris	Bacteria	75	0.00686366428	0.00255004	0.0145665072400249	
D015212	species	1599	Lactobacillus sakei	Bacteria	75	0.08078397676	0.00413215	0.562406747606334	
D015212	species	28129	Prevotella denticola	Bacteria	75	0.04572818096	0.00403663	0.142226072951963	
D015212	species	39483	Faecalitalea cylindroides	Bacteria	75	0.0376994850933333	0.00647469	0.0956532640355647	
D015212	species	290053	Bacteroides helcogenes	Bacteria	75	0.00861770302666667	0.00318603	0.0199857305099091	
D015212	species	457422	Erysipelotrichaceae bacterium 2_2_44A	Bacteria	75	0.0154022666666667	0.00828	0.0201442455449832	
D015212	species	39482	[Eubacterium] contortum	Bacteria	74	0.00497292487837838	0.00279905	0.00729794583759961	
D015212	species	78343	Bifidobacterium boum	Bacteria	74	0.0216163271756757	0.00523143	0.0510301070075975	
D015212	species	185293	Prevotella oryzae	Bacteria	74	0.0329753143378378	0.00205154	0.130727094355368	
D015212	species	246618	Bifidobacterium thermacidophilum	Bacteria	74	0.0152942125675676	0.004186195	0.0511467144216823	
D015212	species	901	Desulfovibrio piger	Bacteria	73	0.0707211536027397	0.0023291	0.209495559635528	
D015212	species	1691	Bifidobacterium indicum	Bacteria	73	0.0356130015068493	0.0127085	0.0724791786414019	
D015212	species	38304	Corynebacterium tuberculostearicum	Bacteria	73	0.367323460493151	0.00532311	3.0421208165402	
D015212	species	61435	Dehalococcoides mccartyi	Bacteria	73	0.00957254095890411	0.00464188	0.015537244871308	
D015212	species	185300	Paludibacter propionicigenes	Bacteria	73	0.0468468204383562	0.0377414	0.0440967907612627	
D015212	species	1349	Streptococcus uberis	Bacteria	72	0.0195926035277778	0.004418035	0.0440038449924592	
D015212	species	138595	Olsenella profusa	Bacteria	72	0.01913178475	0.006285575	0.0308985340349813	
D015212	species	228603	Prevotella shahii	Bacteria	72	0.14050239775	0.002877455	0.771017041146045	
D015212	species	1404	Bacillus megaterium	Bacteria	71	0.00527033753521127	0.00291221	0.00648665824756194	
D015212	species	1510	[Clostridium] stercorarium	Bacteria	71	0.0299980729295775	0.00508037	0.12064467116892	
D015212	species	1579	Lactobacillus acidophilus	Bacteria	71	0.151632504859155	0.00237761	0.685442528885703	
D015212	species	1656	Actinomyces viscosus	Bacteria	71	0.00451754850704225	0.001833	0.00573277287613731	
D015212	species	29385	Staphylococcus saprophyticus	Bacteria	71	0.0157314088450704	0.00467256	0.0325071838630324	
D015212	species	39029	Megasphaera cerevisiae	Bacteria	71	0.0232891520140845	0.0021008	0.0743253543593837	
D015212	species	40214	Acinetobacter johnsonii	Bacteria	71	0.00544928949295775	0.00212674	0.0116248744874642	
D015212	species	47715	Lactobacillus rhamnosus	Bacteria	71	0.156634274211268	0.00608606	0.810387342742105	
D015212	species	185294	Prevotella paludivivens	Bacteria	71	0.0549405188450704	0.00263695	0.156929862778844	
D015212	species	658081	Lachnospiraceae bacterium 1_1_57FAA	Bacteria	71	0.54371323943662	0.07576	1.17888794254195	
D015212	species	665951	Lachnospiraceae bacterium 8_1_57FAA	Bacteria	71	0.448672112676056	0.18243	0.605114822976163	
D015212	species	1121298	Clostridium amylolyticum	Bacteria	71	0.0289510889295775	0.00213289	0.125799152711744	
D015212	species	1755626	Faecalibacterium sp. MC_41	Bacteria	71	7.54684508338028	6.71141	6.94451473003062	
D015212	species	1428	Bacillus thuringiensis	Bacteria	70	0.0106060058857143	0.007046135	0.0257111398451191	
